asin,title,brand,category,price,bsr,rating,reviews,monthly_sales,monthly_revenue,listed_date,score
B00PACNJZR,MobiMount Phone Mount for Car Fast Charging 360° Rotation Dashboard Holder,MobiMount,手机支架,17.69,3861,4.8,187,80,1415.2,2023-07-30,76.7
B0DL9WUVL8,FlexiHold Phone Mount for Car Magnetic Charging 360° Rotation Dashboard Holder,FlexiHold,手机支架,10.12,6408,3.5,67,64,647.68,2025-09-29,57.8
B0FTTMFMW1,Wireless Earbuds Wide Compatibility 40H Playtime Active Noise Cancelling - Midnight Gray,AuraTech,无线耳机,45.81,2016,4.0,277,163,7467.03,2025-11-05,82.0
B0YZG94N0X,EcoSmart LED Smart Bulb Ergonomic Design 16 Million Colors Voice Control,EcoSmart,智能家居,31.86,18900,4.5,76,28,892.08,2025-11-27,42.8
B00GXXLD8R,HydroFlow Insulated Water Bottle Touch Control Stainless Steel BPA Free,HydroFlow,运动水壶,10.83,2850,4.2,221,114,1234.62,2025-11-14,71.9
B0EF03EIF5,Motivational Water Bottle Auto-Pairing with Time Marker 64oz - PeakSip,PeakSip,运动水壶,14.63,10974,3.6,43,56,819.28,2025-04-14,49.7
B0P3Z9DF1T,QuickClip Phone Mount for Car Ergonomic Design 360° Rotation Dashboard Holder,QuickClip,手机支架,20.4,10614,4.3,69,50,1020.0,2024-08-24,58.3
B0Y4YXXWRU,BassBoom Wireless Earbuds Bluetooth 5.3 with Wide Compatibility - Midnight Gray,BassBoom,无线耳机,61.07,673,4.5,273,295,18015.65,2024-07-19,90.3
B06FR8O4GS,EcoSmart Smart Plug WiFi Outlet Auto-Pairing Works with Alexa Google Home,EcoSmart,智能家居,33.86,14253,4.0,24,29,981.94,2023-06-27,42.9
B0NXGT4MBN,HomeIQ Smart Plug WiFi Outlet Wide Compatibility Works with Alexa Google Home,HomeIQ,智能家居,14.08,12020,4.4,51,28,394.24,2023-11-10,52.7
B0VUYD7CLJ,TrailDrop Insulated Water Bottle Touch Control Stainless Steel BPA Free,TrailDrop,运动水壶,19.94,2498,5.0,79,136,2711.84,2024-07-19,79.3
B0TOP64FZE,Smart Power Strip Foldable Design 4 USB Ports Surge Protector - HomeIQ,HomeIQ,智能家居,12.89,12564,4.7,92,34,438.26,2025-11-23,53.3
B0UYIZ80I4,HydroFlow Sports Water Bottle Premium Sound Quality Leak-Proof Lid 32oz - Forest Green,HydroFlow,运动水壶,44.15,8449,3.8,62,64,2825.6,2024-09-13,61.2
B0DLR96MPH,Smart Power Strip Magnetic Charging 4 USB Ports Surge Protector - SmartLink,SmartLink,智能家居,31.93,6929,4.5,95,49,1564.57,2025-07-24,67.5
B079CI80EZ,WaveSound Wireless Earbuds Bluetooth 5.3 with Foldable Design - White,WaveSound,无线耳机,39.99,1496,4.8,282,249,9957.51,2024-04-10,88.8
B0BFM7I4GO,NexaHome Smart Plug WiFi Outlet Auto-Pairing Works with Alexa Google Home,NexaHome,智能家居,52.96,10532,4.4,77,35,1853.6,2025-10-30,59.2
B0UJRGJ5VA,TrailDrop Insulated Water Bottle Fast Charging Stainless Steel BPA Free,TrailDrop,运动水壶,33.16,368,4.4,578,305,10113.8,2024-05-16,92.7
B032I2UKY7,Wireless Earbuds Foldable Design 40H Playtime Active Noise Cancelling - Rose Gold,ClearAudio,无线耳机,22.24,3262,4.6,98,141,3135.84,2025-04-16,76.4
B05TZ0G3YI,AuraTech TWS Bluetooth Headphones Deep Bass IPX7 Waterproof,AuraTech,无线耳机,39.83,4665,3.9,110,133,5297.39,2025-05-06,71.8
B0FQ5HQOWC,SoundPro TWS Bluetooth Headphones One-Step Setup IPX7 Waterproof,SoundPro,无线耳机,20.22,5929,3.6,32,83,1678.26,2023-08-28,59.9
B0UT8YP6DW,FlexiHold Desk Phone Stand Deep Bass Adjustable Height for iPhone Android,FlexiHold,手机支架,32.57,4436,4.8,155,78,2540.46,2025-09-28,75.7
B0EGFKTOV9,ClearPeak Insulated Water Bottle Foldable Design Stainless Steel BPA Free,ClearPeak,运动水壶,39.97,1434,4.0,161,144,5755.68,2023-10-21,79.9
B0S9ATRFEK,HomeIQ Smart Plug WiFi Outlet Foldable Design Works with Alexa Google Home,HomeIQ,智能家居,26.3,8121,4.8,48,35,920.5,2024-02-25,64.9
B0BQ8Z1G6W,QuickClip Phone Mount for Car Auto-Pairing 360° Rotation Dashboard Holder,QuickClip,手机支架,14.7,7428,5.0,93,57,837.9,2023-09-19,66.3
B00VZRY1JL,Universal Car Phone Holder Fast Charging Strong Suction Cup - StandPro,StandPro,手机支架,28.65,1980,4.1,263,137,3925.05,2025-08-18,79.9
B089DRNV98,Smart Power Strip Touch Control 4 USB Ports Surge Protector - NexaHome,NexaHome,智能家居,16.25,616,3.5,256,147,2388.75,2023-11-04,78.5
B0HI8VHX63,MobiMount Desk Phone Stand Built-in Mic Adjustable Height for iPhone Android,MobiMount,手机支架,25.17,1628,4.5,139,112,2819.04,2025-01-05,79.7
B0S7ZP1G2J,Wireless Earbuds Wide Compatibility 40H Playtime Active Noise Cancelling - Rose Gold,BassBoom,无线耳机,68.6,4102,4.5,179,99,6791.4,2023-07-20,75.0
B0YWOY7ZKH,FlexiHold Phone Mount for Car Wide Compatibility 360° Rotation Dashboard Holder,FlexiHold,手机支架,18.6,706,4.5,338,239,4445.4,2024-06-07,86.2
B0APDQ0YCQ,GripMax Phone Mount for Car Deep Bass 360° Rotation Dashboard Holder,GripMax,手机支架,16.27,11399,4.0,29,50,813.5,2025-10-12,49.7
B0XT07VYF5,SmartLink LED Smart Bulb LED Display 16 Million Colors Voice Control,SmartLink,智能家居,30.76,12881,4.9,71,32,984.32,2025-03-27,56.8
B0RB29Z55P,QuickClip Desk Phone Stand Magnetic Charging Adjustable Height for iPhone Android,QuickClip,手机支架,21.36,9525,3.8,102,42,897.12,2023-11-27,58.5
B0TVRH20FJ,Wireless Earbuds Auto-Pairing 40H Playtime Active Noise Cancelling - Navy Blue,WaveSound,无线耳机,61.78,6422,3.6,54,97,5992.66,2024-03-10,64.3
B0VZB4ESWG,GripMax Desk Phone Stand Magnetic Charging Adjustable Height for iPhone Android,GripMax,手机支架,17.15,11843,4.7,79,47,806.05,2025-09-23,57.9
B0MMRYQTB6,Wireless Earbuds Wide Compatibility 40H Playtime Active Noise Cancelling - Forest Green,SoundPro,无线耳机,22.12,3472,4.3,47,116,2565.92,2023-12-17,72.5
B0TGVTEFCX,GripMax Phone Mount for Car LED Display 360° Rotation Dashboard Holder,GripMax,手机支架,18.49,11269,3.7,58,37,684.13,2024-03-24,53.6
B0FABHHBIG,Smart Power Strip Built-in Mic 4 USB Ports Surge Protector - HomeIQ,HomeIQ,智能家居,41.67,9754,4.9,52,43,1791.81,2023-10-26,63.2
B0IM2FV06I,FlexiHold Desk Phone Stand Touch Control Adjustable Height for iPhone Android,FlexiHold,手机支架,19.56,13901,4.5,95,39,762.84,2024-02-02,53.0
B0X2PVMZJ5,Smart Power Strip Foldable Design 4 USB Ports Surge Protector - HomeIQ,HomeIQ,智能家居,49.75,12737,3.6,91,37,1840.75,2024-05-28,51.5
B0MVQUAVG5,Universal Car Phone Holder Deep Bass Strong Suction Cup - StandPro,StandPro,手机支架,10.9,14073,4.2,88,45,490.5,2023-10-03,46.7
B0L98YP8M9,Smart Power Strip Touch Control 4 USB Ports Surge Protector - SmartLink,SmartLink,智能家居,51.37,8769,3.7,77,32,1643.84,2024-12-30,59.3
B0X2UXS57V,WaveSound Wireless Earbuds Bluetooth 5.3 with Touch Control - Black,WaveSound,无线耳机,37.33,684,3.6,258,368,13737.44,2025-09-25,86.5
B0T65XFVD2,SoundPro TWS Bluetooth Headphones Magnetic Charging IPX7 Waterproof,SoundPro,无线耳机,51.05,4483,4.7,100,94,4798.7,2025-01-01,75.4
B0Z05PU5BT,Universal Car Phone Holder Built-in Mic Strong Suction Cup - GripMax,GripMax,手机支架,9.62,8773,4.7,123,51,490.62,2025-07-31,59.7
B0UC5RIULY,LumiPro LED Smart Bulb Fast Charging 16 Million Colors Voice Control,LumiPro,智能家居,28.15,15506,3.6,48,34,957.1,2025-07-09,44.1
B07U241SBH,PeakSip Insulated Water Bottle Foldable Design Stainless Steel BPA Free,PeakSip,运动水壶,40.35,11222,4.7,38,57,2299.95,2023-09-06,56.7
